Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Terrence Ross,10.5,USA,8,26,ORL,22,576,10.3,0.515,0.48,0.198,1.9,11.6,6.7,8.9,2.3,1.2,11.5,16.6,-0.1,0.5,0.5,0.038,-1.8,0.1,-1.7,0.0
Terrance Ferguson,1.785,USA,21,19,OKC,59,728,7.0,0.532,0.6920000000000001,0.063,2.8,3.9,3.3,3.2,1.6,1.2,6.3,10.3,0.5,0.5,1.1,0.07,-1.5,-1.3,-2.8,-0.1
Taurean Waller-Prince,2.42256,USA,12,23,ATL,79,2359,12.3,0.544,0.46299999999999997,0.184,2.2,15.4,8.8,13.4,1.7,1.5,15.5,21.7,-0.3,1.9,1.6,0.032,-1.1,0.0,-1.1,0.5
Tarik Black,3.29,USA,62,26,HOU,48,474,14.9,0.589,0.078,0.478,14.4,19.9,17.1,3.8,2.1,4.7,18.7,15.9,0.6,0.9,1.4,0.14400000000000002,-2.6,2.0,-0.5,0.2
Taj Gibson,14.0,USA,26,32,MIN,78,2613,15.4,0.615,0.05,0.253,8.0,16.5,12.2,5.3,1.1,1.8,9.9,14.6,5.3,1.5,6.8,0.124,1.0,0.1,1.2,2.1
T.J. Warren,3.152931,USA,14,24,PHO,65,2142,17.7,0.541,0.085,0.24,6.1,10.6,8.3,7.2,1.5,1.5,6.7,24.9,2.7,0.8,3.5,0.077,-0.1,-1.8,-1.9,0.1
T.J. McConnell,1.471382,USA,62,25,PHI,72,1651,12.3,0.546,0.14800000000000002,0.096,2.4,11.5,7.1,24.7,2.6,0.6,20.8,13.8,1.2,2.4,3.6,0.105,-1.9,1.1,-0.7,0.5
T.J. Leaf,2.02836,USA,18,20,IND,50,428,10.5,0.5539999999999999,0.322,0.099,6.9,13.4,10.2,2.6,0.6,0.8,7.3,14.2,0.5,0.3,0.7,0.084,-1.9,-2.7,-4.7,-0.3
Steven Adams,22.47191,New Zealand,12,24,OKC,73,2390,20.8,0.628,0.003,0.397,16.9,13.9,15.5,5.5,1.9,2.9,13.3,16.7,6.4,2.9,9.3,0.187,2.2,1.2,3.4,3.3
Sterling Brown,0.815615,USA,46,22,MIL,51,728,9.5,0.513,0.44,0.126,4.2,17.6,10.9,4.6,2.1,1.3,10.6,14.0,0.1,0.7,0.8,0.05,-2.8,-1.0,-3.8,-0.3
Stephen Curry,34.68255,USA,7,29,GSW,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,8.9,30.2,2.4,0.4,13.3,31.0,7.2,1.9,9.2,0.27,9.8,-1.2,8.6,4.4
Stanley Johnson,3.0978,USA,8,21,DET,65,1773,9.1,0.483,0.418,0.264,1.8,13.2,7.4,8.2,2.6,0.6,11.3,16.4,-0.6,2.3,1.8,0.048,-2.6,1.2,-1.4,0.3
Spencer Dinwiddie,1.524305,USA,38,24,BRK,77,2217,16.0,0.526,0.508,0.32299999999999995,1.9,10.3,6.1,35.1,1.4,0.8,11.6,20.3,4.2,1.3,5.5,0.11800000000000001,2.1,-1.7,0.4,1.3
Solomon Hill,12.236535,USA,23,26,NOP,8,127,6.8,0.385,0.563,0.125,4.4,12.4,8.6,16.9,1.5,0.6,12.9,13.2,-0.1,0.1,0.0,0.01,-3.1,-0.5,-3.6,-0.1
Skal Labissiere,1.312611,Haiti,28,21,SAC,60,1240,14.3,0.513,0.111,0.258,8.7,18.2,13.2,9.1,1.0,3.7,12.5,21.1,0.4,0.9,1.3,0.051,-2.7,0.0,-2.7,-0.2
Sindarius Thornwell,0.815615,USA,48,23,LAC,69,1059,8.1,0.517,0.262,0.38299999999999995,3.2,10.1,6.7,7.0,2.1,1.8,15.5,11.6,0.1,0.9,1.0,0.048,-2.6,1.2,-1.4,0.2
Shelvin Mack,6.0,USA,34,27,ORL,65,1283,13.7,0.526,0.332,0.244,1.9,11.9,6.8,29.3,1.9,0.5,16.4,17.5,1.1,1.0,2.0,0.076,-1.0,-1.2,-2.2,-0.1
Shaun Livingston,7.692308,USA,4,32,GSW,68,1081,11.6,0.539,0.012,0.17600000000000002,3.6,8.9,6.4,16.5,1.5,1.5,13.8,16.5,0.9,1.0,1.8,0.08199999999999999,-2.5,-0.8,-3.3,-0.4
Shaquille Harrison,0.09216,USA,62,24,PHO,20,291,15.2,0.534,0.221,0.34700000000000003,2.5,16.5,9.4,18.1,3.5,1.9,12.7,18.3,0.2,0.3,0.6,0.091,-1.3,1.5,0.2,0.2
Shane Larkin,1.524305,USA,18,25,BOS,50,686,10.2,0.506,0.387,0.17,2.0,10.1,6.1,16.3,1.8,0.2,12.2,15.5,0.3,0.9,1.3,0.08800000000000001,-2.3,0.0,-2.4,-0.1
Shabazz Napier,2.36136,USA,24,26,POR,70,1455,14.5,0.5529999999999999,0.414,0.268,1.8,9.9,5.9,15.1,2.7,0.8,13.8,19.5,1.3,1.9,3.2,0.105,0.0,0.4,0.4,0.9
Shabazz Muhammad,1.57723,USA,14,25,TOT,41,385,14.4,0.5,0.147,0.22899999999999998,6.0,14.0,10.0,6.4,1.2,0.7,3.1,22.3,0.3,0.2,0.5,0.064,-2.0,-3.8,-5.8,-0.4
Serge Ibaka,20.061729,Democratic Re_,24,28,TOR,73,2010,14.5,0.569,0.381,0.155,4.3,21.2,12.9,4.4,0.7,3.7,9.6,19.4,1.9,2.8,4.8,0.114,-0.9,0.5,-0.4,0.8
